worker_id,age,zone,platform,months_active,avg_weekly_earnings,work_hours_daily,multiplatform,vehicle_type,geo_risk
W00136,40,Lajpat Nagar,Zomato,44,5008.45,9.1,0,Bike,0.12
W00137,30,East Delhi,Blinkit,26,2462.99,7.5,0,Bike,0.35
W00138,24,South Delhi,Instamart,4,2977.37,7.2,0,Bicycle,0.1
W00139,37,East Delhi,BigBasket,26,4091.46,9.5,0,Bike,0.35
W00140,43,Gurgaon,BigBasket,40,3780.87,7.9,0,EV Scooter,0.3
W00141,34,East Delhi,Blinkit,9,4078.95,8.9,0,Bicycle,0.35
W00142,37,South Delhi,BigBasket,5,3190.55,11.4,0,Bike,0.1
W00143,39,Gurgaon,Zomato,32,4679.97,11.3,0,Bike,0.3
W00144,32,Faridabad,Zomato,20,3787.52,12.3,0,Bike,0.32
W00145,24,Connaught Place,Blinkit,11,4307.59,11.5,0,Bike,0.15
W00146,20,Connaught Place,Instamart,15,4006.22,12.6,0,Bicycle,0.15
W00147,41,Lajpat Nagar,Zepto,32,3890.4,9.7,1,Bike,0.12
W00148,37,Rohini,Swiggy,28,4251.47,7.6,0,Bike,0.18
W00149,33,Faridabad,Zepto,22,3899.19,7.5,0,Bike,0.32
W00150,24,Faridabad,BigBasket,41,2797.84,11.1,0,Bicycle,0.32
W00151,25,Saket,Swiggy,17,4619.89,9.1,0,Bike,0.14
W00152,43,East Delhi,Blinkit,26,4404.5,9.2,0,Bike,0.35
W00153,44,Connaught Place,Blinkit,44,2064.52,8.2,0,Bike,0.15
W00154,35,South Delhi,Instamart,7,3226.64,8.4,0,EV Scooter,0.1
W00155,41,West Delhi,Swiggy,42,4583.89,9.6,0,Bike,0.25
W00156,40,West Delhi,Zomato,26,2288.46,7.4,0,Bike,0.25
W00157,31,Gurgaon,Swiggy,25,4504.85,9.4,1,Bike,0.3
W00158,39,Connaught Place,BigBasket,10,3637.02,11.3,0,Bicycle,0.15
W00159,37,Connaught Place,Zomato,45,4822.23,5.8,0,Bike,0.15
W00160,21,Lajpat Nagar,Blinkit,19,3749.08,6.7,0,Bicycle,0.12
W00161,42,West Delhi,Swiggy,11,3172.35,10.0,0,Bike,0.25
W00162,40,Connaught Place,Zepto,13,3996.47,11.0,0,Bike,0.15
W00163,42,Lajpat Nagar,Instamart,8,3725.69,8.3,0,Bicycle,0.12
W00164,32,East Delhi,Zepto,40,3101.32,6.0,0,Bicycle,0.35
W00165,36,Noida,Instamart,4,5524.67,11.1,1,Bicycle,0.28
W00166,36,Saket,BigBasket,47,2973.12,7.8,0,EV Scooter,0.14
W00167,35,North Delhi,Zepto,31,1955.64,8.5,0,Bike,0.2
W00168,40,Faridabad,Swiggy,28,5015.36,9.5,1,EV Scooter,0.32
W00169,37,Rohini,Swiggy,11,3283.15,8.0,1,Bike,0.18
W00170,27,Gurgaon,Zepto,43,3512.58,7.7,0,Bicycle,0.3
W00171,22,Noida,Swiggy,1,3463.68,7.7,0,Bike,0.28
W00172,36,Saket,BigBasket,47,3294.28,11.8,0,Bike,0.14
W00173,37,Saket,Zomato,38,3137.05,10.7,1,Bike,0.14
W00174,42,Saket,BigBasket,24,2952.55,9.9,0,Bike,0.14
W00175,25,Saket,Instamart,47,3801.81,5.7,0,Bike,0.14
W00176,27,West Delhi,BigBasket,31,3428.41,9.9,0,Bike,0.25
W00177,42,Lajpat Nagar,Instamart,41,4334.29,9.8,0,Bike,0.12
W00178,32,Faridabad,Swiggy,46,4136.16,7.1,0,Bike,0.32
W00179,27,Connaught Place,Zomato,26,3007.99,9.4,0,Bike,0.15
W00180,38,Saket,Swiggy,5,3836.82,10.6,1,Bike,0.14
W00181,25,Rohini,Blinkit,20,3415.73,9.9,0,Bike,0.18
W00182,42,Connaught Place,Swiggy,41,2956.67,8.0,0,Bike,0.15
W00183,34,South Delhi,Instamart,11,4301.55,9.0,0,Bicycle,0.1
W00184,29,South Delhi,Swiggy,33,3652.94,10.1,0,EV Scooter,0.1
W00185,36,Rohini,Swiggy,38,3423.96,9.1,0,Bike,0.18
W00186,20,Lajpat Nagar,Zomato,27,3065.55,10.9,0,Bike,0.12
W00187,26,Rohini,Swiggy,34,2927.65,9.6,0,Bicycle,0.18
W00188,32,West Delhi,Zomato,15,5341.01,10.1,0,Bike,0.25
W00189,22,Rohini,Zepto,32,4017.29,10.2,0,Bicycle,0.18
W00190,38,East Delhi,Blinkit,21,2877.1,7.4,0,Bike,0.35
W00191,34,Connaught Place,Zomato,46,3980.29,9.1,0,Bike,0.15
W00192,24,Noida,Instamart,5,4599.61,8.5,0,Bike,0.28
W00193,30,Dwarka,Zepto,6,3884.01,10.6,0,Bike,0.22
W00194,41,Lajpat Nagar,Zomato,38,4849.22,9.7,0,Bike,0.12
W00195,37,Rohini,Zomato,22,2515.75,8.7,0,Bike,0.18
W00196,22,Gurgaon,Blinkit,18,2156.94,7.1,0,Bike,0.3
W00197,25,South Delhi,Instamart,14,3958.41,6.6,1,Bike,0.1
W00198,22,East Delhi,BigBasket,10,3971.2,9.5,0,Bicycle,0.35
W00199,24,Faridabad,BigBasket,46,1500.0,7.9,0,Bicycle,0.32
W00200,28,Saket,Zomato,13,3251.14,10.0,0,Bike,0.14
W00201,38,Dwarka,Swiggy,31,2943.07,6.5,0,Bike,0.22
W00202,32,Lajpat Nagar,Instamart,30,2636.44,11.4,0,Bike,0.12
W00203,25,Noida,Zepto,3,2941.17,10.0,1,Bike,0.28
W00204,30,Dwarka,Swiggy,30,4226.63,9.1,0,Bike,0.22
W00205,40,Rohini,Swiggy,6,2936.08,11.5,0,Bike,0.18
W00206,40,West Delhi,Instamart,29,2963.5,10.4,0,Bike,0.25
W00207,33,South Delhi,Zomato,8,2454.96,8.3,1,Bike,0.1
W00208,25,South Delhi,Zomato,44,4765.13,9.1,0,EV Scooter,0.1
W00209,25,Faridabad,Zomato,45,4097.71,6.1,0,Bicycle,0.32
W00210,36,West Delhi,Zomato,43,1756.12,10.6,0,Bike,0.25
W00211,30,Saket,BigBasket,44,2964.21,8.6,0,Bike,0.14
W00212,34,Connaught Place,Zomato,33,4172.81,6.0,1,Bike,0.15
W00213,28,North Delhi,BigBasket,17,4775.11,7.2,0,Bicycle,0.2
W00214,40,East Delhi,BigBasket,11,4422.67,10.3,0,Bicycle,0.35
W00215,36,South Delhi,Zomato,13,3465.45,11.4,1,EV Scooter,0.1
W00216,43,Gurgaon,Blinkit,11,2204.9,9.0,0,Bike,0.3
W00217,26,South Delhi,Zepto,31,4446.2,7.5,0,Bicycle,0.1
W00218,26,Dwarka,Swiggy,28,3512.48,6.9,1,Bike,0.22
W00219,40,South Delhi,BigBasket,44,3805.09,11.1,0,EV Scooter,0.1
W00220,20,Lajpat Nagar,Instamart,6,3608.06,9.7,0,Bicycle,0.12
W00221,44,South Delhi,Instamart,41,2665.58,8.5,1,Bike,0.1
W00222,44,North Delhi,Zepto,16,4041.4,8.1,0,Bike,0.2
W00223,27,North Delhi,Instamart,4,3931.17,10.0,0,Bicycle,0.2
W00224,24,Saket,Blinkit,35,3409.37,10.0,0,Bike,0.14
W00225,38,Noida,Instamart,26,4126.88,7.7,0,Bike,0.28
W00226,27,Connaught Place,Swiggy,12,2650.8,7.3,0,Bike,0.15
W00227,36,Gurgaon,Swiggy,11,3534.8,7.4,0,Bike,0.3
W00228,38,South Delhi,BigBasket,37,3770.9,8.3,0,Bike,0.1
W00229,31,South Delhi,Zomato,25,2362.06,8.0,0,Bike,0.1
W00230,42,East Delhi,Blinkit,18,3704.32,11.4,0,Bike,0.35
W00231,34,North Delhi,BigBasket,19,4336.92,8.2,1,Bike,0.2
W00232,23,Gurgaon,Blinkit,23,3507.42,7.1,0,Bike,0.3
W00233,42,Saket,Zomato,38,3722.71,7.2,0,Bike,0.14
W00234,31,Faridabad,Instamart,18,4199.88,8.7,0,Bike,0.32
W00235,32,Noida,Instamart,26,3439.76,6.3,0,Bike,0.28
W00236,33,Connaught Place,Zomato,6,3511.76,8.9,0,Bike,0.15
W00237,24,West Delhi,BigBasket,4,2808.64,7.0,0,Bicycle,0.25
W00238,41,Connaught Place,Zomato,44,3738.05,10.7,0,Bike,0.15
W00239,35,Lajpat Nagar,Zepto,29,3482.12,9.2,0,Bicycle,0.12
W00240,26,Dwarka,Swiggy,34,4149.27,12.2,0,Bike,0.22
W00241,34,Lajpat Nagar,BigBasket,17,4200.77,8.7,0,EV Scooter,0.12
W00242,32,South Delhi,Blinkit,43,4382.97,4.3,0,Bike,0.1
W00243,35,Noida,Zepto,43,3343.39,11.2,0,Bike,0.28
W00244,31,Dwarka,BigBasket,16,2008.74,9.8,0,Bike,0.22
W00245,26,Gurgaon,Zomato,2,4343.31,10.0,0,Bike,0.3
W00246,35,West Delhi,Zomato,34,4094.9,7.5,0,Bicycle,0.25
W00247,42,North Delhi,Zomato,8,3241.77,8.9,0,Bike,0.2
W00248,42,Noida,Zomato,13,4193.95,9.3,0,Bike,0.28
W00249,32,Noida,Blinkit,42,2591.13,8.6,0,EV Scooter,0.28
W00250,42,Lajpat Nagar,Zepto,8,4574.19,6.4,0,Bike,0.12
W00251,22,South Delhi,Instamart,30,3483.1,13.2,0,Bike,0.1
W00252,34,Rohini,Swiggy,32,3086.86,10.3,0,Bike,0.18
W00253,22,Saket,Blinkit,36,3252.64,9.6,0,Bike,0.14
W00254,26,Lajpat Nagar,Blinkit,47,3564.81,11.0,0,EV Scooter,0.12
W00255,37,Noida,Instamart,30,3740.39,10.0,0,Bicycle,0.28
W00256,33,East Delhi,Instamart,1,3788.62,8.0,0,Bicycle,0.35
W00257,37,West Delhi,Swiggy,43,3406.31,10.9,0,EV Scooter,0.25
W00258,38,Saket,Swiggy,39,3910.19,10.3,0,Bike,0.14
W00259,33,Lajpat Nagar,Instamart,17,3756.62,8.0,0,Bike,0.12
W00260,39,West Delhi,Zomato,20,3231.94,10.2,0,Bike,0.25
W00261,25,East Delhi,Blinkit,24,3111.45,8.6,0,Bicycle,0.35
W00262,27,Faridabad,BigBasket,22,4236.69,9.3,0,EV Scooter,0.32
W00263,26,East Delhi,Swiggy,29,4169.46,9.9,0,Bike,0.35
W00264,39,East Delhi,Swiggy,22,3795.71,11.1,0,Bike,0.35
W00265,37,West Delhi,Instamart,44,4489.36,8.0,0,EV Scooter,0.25
W00266,37,Connaught Place,Zepto,9,2180.94,9.5,0,Bike,0.15
W00267,34,West Delhi,BigBasket,37,3298.48,12.0,1,EV Scooter,0.25
W00268,39,Rohini,BigBasket,10,2824.95,8.7,0,Bike,0.18
W00269,41,South Delhi,Swiggy,36,5555.02,9.3,0,Bike,0.1
W00270,38,Dwarka,Zomato,37,4320.58,12.0,0,Bike,0.22
W00271,41,Connaught Place,Zepto,28,3686.75,10.0,1,Bike,0.15
W00272,40,North Delhi,BigBasket,28,4377.99,6.8,0,Bike,0.2
W00273,40,Dwarka,Swiggy,42,4643.02,7.8,0,Bike,0.22
W00274,21,South Delhi,BigBasket,43,4634.51,10.0,0,EV Scooter,0.1
W00275,27,Lajpat Nagar,Zepto,21,4487.36,9.6,0,Bicycle,0.12
W00276,40,Saket,Zepto,24,3539.97,9.2,0,Bicycle,0.14
W00277,30,Rohini,Blinkit,42,3348.91,12.2,0,Bike,0.18
W00278,37,Rohini,Instamart,40,2980.25,8.1,0,EV Scooter,0.18
W00279,42,North Delhi,Instamart,2,4151.96,8.9,0,Bike,0.2
W00280,32,Connaught Place,Swiggy,8,3622.85,6.1,0,Bike,0.15
W00281,28,Faridabad,Zepto,27,3415.22,10.7,0,Bike,0.32
W00282,28,East Delhi,Blinkit,22,3373.47,7.8,0,Bike,0.35
W00283,36,Connaught Place,Blinkit,37,4910.15,10.6,0,EV Scooter,0.15
W00284,26,Saket,BigBasket,27,4512.14,10.4,0,Bike,0.14
W00285,28,Faridabad,BigBasket,29,5214.32,12.5,0,Bike,0.32
W00286,41,Rohini,Blinkit,3,4173.21,10.0,0,Bicycle,0.18
W00287,20,West Delhi,BigBasket,44,3795.56,8.5,0,Bike,0.25
W00288,21,Saket,Zepto,13,3729.68,9.7,0,Bicycle,0.14
W00289,23,South Delhi,Zomato,45,2933.76,7.9,0,Bike,0.1
W00290,33,North Delhi,Zepto,10,2740.86,9.5,0,Bicycle,0.2
W00291,23,South Delhi,Blinkit,36,4155.87,8.7,0,Bike,0.1
W00292,21,Saket,Blinkit,9,3002.26,8.9,0,EV Scooter,0.14
W00293,27,Gurgaon,Zepto,27,3919.17,7.7,0,Bike,0.3
W00294,37,Gurgaon,BigBasket,34,4642.37,9.5,0,Bicycle,0.3
W00295,38,Lajpat Nagar,BigBasket,1,3217.64,10.2,0,Bike,0.12
W00296,33,Connaught Place,Instamart,32,5358.39,6.5,0,Bike,0.15
W00297,39,Rohini,Blinkit,25,2957.44,8.0,0,Bike,0.18
W00298,44,Rohini,Swiggy,29,4542.16,9.3,0,Bike,0.18
W00299,29,East Delhi,Instamart,7,4089.8,5.5,0,Bike,0.35
W00300,36,East Delhi,BigBasket,3,4705.28,11.6,0,Bicycle,0.35
W00301,27,East Delhi,Zepto,20,2857.04,7.9,0,Bike,0.35
W00302,33,West Delhi,BigBasket,20,5595.62,7.6,0,Bicycle,0.25
W00303,40,Dwarka,Zepto,30,3606.98,8.7,0,Bike,0.22
W00304,42,Noida,Instamart,35,4291.32,9.2,1,Bike,0.28
W00305,27,Dwarka,Blinkit,35,4905.59,7.9,0,Bicycle,0.22
W00306,24,South Delhi,BigBasket,39,3266.27,10.5,0,Bicycle,0.1
W00307,35,Dwarka,Zepto,27,4410.58,9.6,0,Bike,0.22
W00308,27,West Delhi,Blinkit,26,3132.82,7.7,0,Bike,0.25
W00309,29,Lajpat Nagar,Swiggy,14,4867.57,8.2,0,Bike,0.12
W00310,27,South Delhi,Zepto,17,3141.86,6.7,0,Bike,0.1
W00311,28,Dwarka,Instamart,18,3780.81,7.1,0,Bike,0.22
W00312,37,West Delhi,Swiggy,45,3994.9,9.6,0,Bike,0.25
W00313,22,Noida,Swiggy,29,4377.44,7.8,1,Bike,0.28
W00314,36,Dwarka,Zomato,20,5324.78,11.7,0,Bike,0.22
W00315,39,West Delhi,BigBasket,27,3388.42,9.1,1,EV Scooter,0.25
W00316,34,East Delhi,Zepto,18,4660.99,7.0,0,Bicycle,0.35
W00317,40,Rohini,Swiggy,4,5326.21,7.3,0,Bike,0.18
W00318,36,East Delhi,Zomato,1,3882.59,10.6,0,Bike,0.35
W00319,27,Rohini,Instamart,1,3309.89,8.9,0,Bike,0.18
W00320,21,North Delhi,Blinkit,26,2365.97,10.5,1,Bicycle,0.2
W00321,36,North Delhi,Zepto,45,5256.62,8.5,0,Bike,0.2
W00322,37,North Delhi,Swiggy,20,3554.44,8.2,0,Bike,0.2
W00323,24,Noida,BigBasket,23,2948.91,10.7,1,Bike,0.28
W00324,28,East Delhi,Zomato,10,2663.34,7.7,0,Bike,0.35
W00325,28,Rohini,Swiggy,11,2947.43,9.7,0,Bike,0.18
W00326,21,West Delhi,BigBasket,41,4485.76,8.7,0,Bicycle,0.25
W00327,21,South Delhi,Swiggy,41,4596.29,10.3,0,Bike,0.1
W00328,38,West Delhi,Zepto,5,4271.7,11.7,0,Bike,0.25
W00329,42,South Delhi,Zepto,1,3855.87,8.4,0,Bike,0.1
W00330,22,Gurgaon,Zepto,17,2753.58,8.2,0,Bike,0.3
W00331,36,West Delhi,Instamart,22,3166.05,10.0,0,Bike,0.25
W00332,33,Dwarka,Instamart,34,2864.7,7.4,0,Bike,0.22
W00333,33,Dwarka,Zomato,45,4208.26,11.4,1,Bicycle,0.22
W00334,33,Connaught Place,Zepto,41,2899.35,11.2,0,EV Scooter,0.15
W00335,25,East Delhi,BigBasket,29,3178.6,7.5,0,EV Scooter,0.35
W00336,22,South Delhi,Swiggy,4,3603.21,6.6,0,Bike,0.1
W00337,20,South Delhi,Blinkit,5,2414.16,7.3,0,Bicycle,0.1
W00338,35,Saket,BigBasket,11,3787.42,7.3,0,EV Scooter,0.14
W00339,23,Lajpat Nagar,Instamart,21,3664.28,10.2,0,Bike,0.12
W00340,20,East Delhi,Instamart,35,4697.37,11.3,1,Bike,0.35
W00341,36,Noida,BigBasket,12,3094.11,10.2,0,Bike,0.28
W00342,37,Connaught Place,Instamart,26,2710.64,8.6,0,Bike,0.15
W00343,27,Noida,Zepto,19,3450.75,9.5,0,Bicycle,0.28
W00344,21,Noida,Zomato,45,2871.53,7.7,0,Bike,0.28
W00345,37,Noida,Swiggy,7,3781.32,10.6,0,Bike,0.28
W00346,35,East Delhi,Zomato,47,2262.05,9.6,0,Bike,0.35
W00347,29,Noida,Swiggy,7,3265.72,10.2,0,Bike,0.28
W00348,27,Dwarka,Swiggy,26,3007.3,7.9,1,Bike,0.22
W00349,31,Lajpat Nagar,Zomato,40,4204.21,8.7,0,Bike,0.12
W00350,41,Lajpat Nagar,BigBasket,5,3101.55,10.1,0,Bike,0.12
W00351,35,North Delhi,Swiggy,21,2361.12,11.2,0,Bicycle,0.2
W00352,31,Gurgaon,Zomato,14,3588.54,8.1,0,Bicycle,0.3
