worker_zone,season,trigger_type,avg_premium,avg_geo_risk,avg_temporal_risk,claim_count,fraud_rate
Lajpat Nagar,Post-Monsoon,Extreme Heat,54.453,0.12,0.1,32,0.125
Lajpat Nagar,Post-Monsoon,Flooding,53.317,0.12,0.1,32,0.094
Lajpat Nagar,Post-Monsoon,Heavy Rainfall,53.128,0.12,0.1,36,0.139
Lajpat Nagar,Post-Monsoon,Severe Pollution,54.728,0.12,0.1,31,0.065
Lajpat Nagar,Post-Monsoon,Social Disruption,53.251,0.12,0.1,36,0.167
Lajpat Nagar,Summer,Extreme Heat,56.833,0.12,0.2,35,0.2
Lajpat Nagar,Summer,Flooding,57.87,0.12,0.2,35,0.171
Lajpat Nagar,Summer,Heavy Rainfall,57.693,0.12,0.2,32,0.156
Lajpat Nagar,Summer,Severe Pollution,58.771,0.12,0.2,42,0.119
Lajpat Nagar,Summer,Social Disruption,57.614,0.12,0.2,45,0.267
Lajpat Nagar,Winter,Extreme Heat,50.718,0.12,0.05,42,0.214
Lajpat Nagar,Winter,Flooding,51.128,0.12,0.05,33,0.03
Lajpat Nagar,Winter,Heavy Rainfall,51.009,0.12,0.05,28,0.179
Lajpat Nagar,Winter,Severe Pollution,50.166,0.12,0.05,40,0.125
Lajpat Nagar,Winter,Social Disruption,50.141,0.12,0.05,31,0.194
Noida,Monsoon,Extreme Heat,70.406,0.28,0.3,46,0.087
Noida,Monsoon,Flooding,68.158,0.28,0.3,42,0.214
Noida,Monsoon,Heavy Rainfall,70.415,0.28,0.3,44,0.182
Noida,Monsoon,Severe Pollution,70.505,0.28,0.3,44,0.136
Noida,Monsoon,Social Disruption,68.267,0.28,0.3,32,0.281
Noida,Post-Monsoon,Extreme Heat,61.825,0.28,0.1,49,0.184
Noida,Post-Monsoon,Flooding,61.76,0.28,0.1,43,0.233
Noida,Post-Monsoon,Heavy Rainfall,60.593,0.28,0.1,36,0.167
Noida,Post-Monsoon,Severe Pollution,60.763,0.28,0.1,41,0.098
Noida,Post-Monsoon,Social Disruption,61.312,0.28,0.1,28,0.214
Noida,Summer,Extreme Heat,64.531,0.28,0.2,38,0.289
Noida,Summer,Flooding,65.723,0.28,0.2,43,0.233
Noida,Summer,Heavy Rainfall,65.584,0.28,0.2,36,0.167
Noida,Summer,Severe Pollution,65.444,0.28,0.2,45,0.178
Noida,Summer,Social Disruption,65.785,0.28,0.2,42,0.238
Noida,Winter,Extreme Heat,58.8,0.28,0.05,38,0.158
Noida,Winter,Flooding,59.658,0.28,0.05,33,0.212
Noida,Winter,Heavy Rainfall,58.813,0.28,0.05,37,0.216
Noida,Winter,Severe Pollution,59.406,0.28,0.05,36,0.222
Noida,Winter,Social Disruption,57.147,0.28,0.05,44,0.182
North Delhi,Monsoon,Extreme Heat,65.469,0.2,0.3,34,0.176
North Delhi,Monsoon,Flooding,67.076,0.2,0.3,30,0.167
North Delhi,Monsoon,Heavy Rainfall,67.943,0.2,0.3,36,0.083
North Delhi,Monsoon,Severe Pollution,65.082,0.2,0.3,45,0.133
North Delhi,Monsoon,Social Disruption,66.862,0.2,0.3,41,0.122
North Delhi,Post-Monsoon,Extreme Heat,58.941,0.2,0.1,38,0.132
North Delhi,Post-Monsoon,Flooding,57.417,0.2,0.1,53,0.132
North Delhi,Post-Monsoon,Heavy Rainfall,56.983,0.2,0.1,38,0.211
North Delhi,Post-Monsoon,Severe Pollution,57.371,0.2,0.1,41,0.195
North Delhi,Post-Monsoon,Social Disruption,58.184,0.2,0.1,38,0.158
North Delhi,Summer,Extreme Heat,61.365,0.2,0.2,44,0.136
North Delhi,Summer,Flooding,62.184,0.2,0.2,45,0.244
North Delhi,Summer,Heavy Rainfall,62.481,0.2,0.2,45,0.2
North Delhi,Summer,Severe Pollution,61.901,0.2,0.2,43,0.163
North Delhi,Summer,Social Disruption,63.699,0.2,0.2,40,0.225
North Delhi,Winter,Extreme Heat,56.056,0.2,0.05,35,0.086
North Delhi,Winter,Flooding,54.788,0.2,0.05,32,0.219
North Delhi,Winter,Heavy Rainfall,55.888,0.2,0.05,46,0.174
North Delhi,Winter,Severe Pollution,54.506,0.2,0.05,35,0.286
North Delhi,Winter,Social Disruption,55.087,0.2,0.05,48,0.188
Rohini,Monsoon,Extreme Heat,65.077,0.18,0.3,42,0.119
Rohini,Monsoon,Flooding,64.692,0.18,0.3,34,0.118
Rohini,Monsoon,Heavy Rainfall,64.688,0.18,0.3,36,0.167
Rohini,Monsoon,Severe Pollution,64.184,0.18,0.3,37,0.27
Rohini,Monsoon,Social Disruption,65.484,0.18,0.3,42,0.19
Rohini,Post-Monsoon,Extreme Heat,56.372,0.18,0.1,33,0.242
Rohini,Post-Monsoon,Flooding,57.744,0.18,0.1,38,0.184
Rohini,Post-Monsoon,Heavy Rainfall,57.227,0.18,0.1,36,0.111
Rohini,Post-Monsoon,Severe Pollution,56.582,0.18,0.1,29,0.207
Rohini,Post-Monsoon,Social Disruption,55.009,0.18,0.1,29,0.069
Rohini,Summer,Extreme Heat,59.507,0.18,0.2,40,0.2
Rohini,Summer,Flooding,60.724,0.18,0.2,40,0.15
Rohini,Summer,Heavy Rainfall,59.876,0.18,0.2,44,0.159
Rohini,Summer,Severe Pollution,60.248,0.18,0.2,40,0.125
Rohini,Summer,Social Disruption,60.979,0.18,0.2,31,0.129
Rohini,Winter,Extreme Heat,54.669,0.18,0.05,32,0.188
Rohini,Winter,Flooding,54.995,0.18,0.05,35,0.143
Rohini,Winter,Heavy Rainfall,55.207,0.18,0.05,43,0.209
Rohini,Winter,Severe Pollution,54.391,0.18,0.05,42,0.119
Rohini,Winter,Social Disruption,53.968,0.18,0.05,58,0.172
Saket,Monsoon,Extreme Heat,62.793,0.14,0.3,49,0.122
Saket,Monsoon,Flooding,64.218,0.14,0.3,43,0.116
Saket,Monsoon,Heavy Rainfall,63.453,0.14,0.3,57,0.123
Saket,Monsoon,Severe Pollution,63.411,0.14,0.3,44,0.205
Saket,Monsoon,Social Disruption,63.595,0.14,0.3,57,0.263
Saket,Post-Monsoon,Extreme Heat,53.858,0.14,0.1,54,0.259
Saket,Post-Monsoon,Flooding,54.448,0.14,0.1,45,0.089
Saket,Post-Monsoon,Heavy Rainfall,54.855,0.14,0.1,43,0.116
Saket,Post-Monsoon,Severe Pollution,53.857,0.14,0.1,49,0.163
Saket,Post-Monsoon,Social Disruption,54.12,0.14,0.1,47,0.213
Saket,Summer,Extreme Heat,58.652,0.14,0.2,47,0.106
Saket,Summer,Flooding,58.974,0.14,0.2,40,0.05
Saket,Summer,Heavy Rainfall,58.472,0.14,0.2,43,0.279
Saket,Summer,Severe Pollution,58.718,0.14,0.2,33,0.091
Saket,Summer,Social Disruption,58.374,0.14,0.2,42,0.167
Saket,Winter,Extreme Heat,51.924,0.14,0.05,42,0.214
Saket,Winter,Flooding,52.733,0.14,0.05,42,0.19
Saket,Winter,Heavy Rainfall,51.988,0.14,0.05,51,0.039
Saket,Winter,Severe Pollution,52.184,0.14,0.05,42,0.167
Saket,Winter,Social Disruption,51.853,0.14,0.05,40,0.25
South Delhi,Monsoon,Extreme Heat,63.075,0.1,0.3,39,0.205
South Delhi,Monsoon,Flooding,61.957,0.1,0.3,46,0.152
South Delhi,Monsoon,Heavy Rainfall,62.067,0.1,0.3,48,0.229
South Delhi,Monsoon,Severe Pollution,62.001,0.1,0.3,47,0.149
South Delhi,Monsoon,Social Disruption,62.005,0.1,0.3,56,0.214
South Delhi,Post-Monsoon,Extreme Heat,52.72,0.1,0.1,63,0.206
South Delhi,Post-Monsoon,Flooding,52.953,0.1,0.1,52,0.115
South Delhi,Post-Monsoon,Heavy Rainfall,52.833,0.1,0.1,62,0.323
South Delhi,Post-Monsoon,Severe Pollution,52.717,0.1,0.1,49,0.245
South Delhi,Post-Monsoon,Social Disruption,52.453,0.1,0.1,45,0.156
South Delhi,Summer,Extreme Heat,57.781,0.1,0.2,49,0.245
South Delhi,Summer,Flooding,57.655,0.1,0.2,35,0.114
South Delhi,Summer,Heavy Rainfall,56.577,0.1,0.2,46,0.109
South Delhi,Summer,Severe Pollution,58.586,0.1,0.2,36,0.194
South Delhi,Summer,Social Disruption,58.161,0.1,0.2,41,0.244
South Delhi,Winter,Extreme Heat,51.808,0.1,0.05,36,0.139
South Delhi,Winter,Flooding,50.701,0.1,0.05,41,0.122
South Delhi,Winter,Heavy Rainfall,50.921,0.1,0.05,48,0.208
South Delhi,Winter,Severe Pollution,50.425,0.1,0.05,43,0.163
South Delhi,Winter,Social Disruption,50.853,0.1,0.05,51,0.157
West Delhi,Monsoon,Extreme Heat,69.051,0.25,0.3,43,0.186
West Delhi,Monsoon,Flooding,68.321,0.25,0.3,36,0.139
West Delhi,Monsoon,Heavy Rainfall,67.158,0.25,0.3,29,0.034
West Delhi,Monsoon,Severe Pollution,68.114,0.25,0.3,34,0.265
West Delhi,Monsoon,Social Disruption,66.094,0.25,0.3,27,0.296
West Delhi,Post-Monsoon,Extreme Heat,58.28,0.25,0.1,28,0.286
West Delhi,Post-Monsoon,Flooding,58.437,0.25,0.1,38,0.237
West Delhi,Post-Monsoon,Heavy Rainfall,59.1,0.25,0.1,40,0.175
West Delhi,Post-Monsoon,Severe Pollution,58.799,0.25,0.1,34,0.235
West Delhi,Post-Monsoon,Social Disruption,58.997,0.25,0.1,40,0.175
West Delhi,Summer,Extreme Heat,62.909,0.25,0.2,43,0.279
West Delhi,Summer,Flooding,64.193,0.25,0.2,46,0.13
West Delhi,Summer,Heavy Rainfall,64.186,0.25,0.2,37,0.081
West Delhi,Summer,Severe Pollution,62.598,0.25,0.2,24,0.125
West Delhi,Summer,Social Disruption,63.682,0.25,0.2,40,0.225
West Delhi,Winter,Extreme Heat,57.163,0.25,0.05,40,0.25
West Delhi,Winter,Flooding,56.57,0.25,0.05,40,0.2
West Delhi,Winter,Heavy Rainfall,56.645,0.25,0.05,48,0.104
West Delhi,Winter,Severe Pollution,56.81,0.25,0.05,37,0.27
West Delhi,Winter,Social Disruption,55.788,0.25,0.05,44,0.182
