claim_id,worker_id,event_id,worker_age,worker_zone,platform,vehicle_type,months_active,avg_weekly_earnings_inr,work_hours_daily,multiplatform,season,trigger_type,geo_risk,temporal_risk,combined_risk,gps_zone_match,gps_network_delta_m,accel_variance,mock_location_flag,speed_anomaly,gps_trust_score,claim_latitude,claim_longitude,weather_api_match,rainfall_mm_hr,heat_index_celsius,aqi,claims_this_month,earnings_deviation,peer_claim_ratio,platform_login_active,order_availability,duplicate_upi_event,loyalty_score,loyalty_discount,weekly_premium_inr,hours_disrupted,payout_amount_inr,risk_score,decision,is_fraud
C000044,W01892,EVT0355,39,Saket,Zomato,Bike,47,3734.4,11.2,0,Monsoon,Severe Pollution,0.14,0.3,0.44,0.857,140.5,1.137,0,0,0.8354,28.528424,77.219247,0.989,1.7,21.7,582,0,0.185,0.576,1,1,0,0.9792,0.1958,50.96,5,750,4,AUTO_APPROVE,0
C000045,W01203,EVT0233,32,South Delhi,Instamart,EV Scooter,13,3598.49,10.0,0,Post-Monsoon,Flooding,0.1,0.1,0.2,0.739,65.7,1.846,0,0,0.8703,28.562119,77.253699,0.825,69.9,35.7,165,0,0.005,0.792,1,1,0,0.2708,0.0542,56.45,2,300,9,AUTO_APPROVE,0
C000046,W01570,EVT0240,24,Saket,Swiggy,Bike,19,5817.05,11.5,0,Post-Monsoon,Heavy Rainfall,0.14,0.1,0.24,0.839,219.6,0.7,0,0,0.7727,28.532854,77.223047,0.906,63.2,30.1,165,0,0.004,0.916,1,1,0,0.3958,0.0792,54.28,4,600,7,AUTO_APPROVE,0
C000047,W00588,EVT0282,33,Connaught Place,Blinkit,Bike,27,3792.82,9.3,0,Post-Monsoon,Flooding,0.15,0.1,0.25,0.853,214.6,0.646,0,0,0.7736,28.642908,77.207043,0.939,71.3,29.2,128,0,0.044,0.641,1,1,0,0.5625,0.1125,55.07,4,600,7,AUTO_APPROVE,0
C000048,W01735,EVT0442,23,Dwarka,Swiggy,Bike,32,4745.77,9.1,0,Winter,Social Disruption,0.22,0.05,0.27,0.993,221.0,0.968,0,0,0.8609,28.592799,77.05953,0.821,63.6,37.3,101,0,0.191,0.73,1,1,0,0.6667,0.1333,51.76,3,450,1,AUTO_APPROVE,0
C000049,W01322,EVT0307,36,South Delhi,Instamart,EV Scooter,22,5305.68,7.4,0,Monsoon,Severe Pollution,0.1,0.3,0.4,0.753,6.4,0.75,0,0,0.7752,28.557908,77.263845,0.787,2.7,28.4,548,0,0.043,0.971,1,1,0,0.4583,0.0917,61.44,3,450,14,AUTO_APPROVE,0
C000050,W01442,EVT0438,26,Faridabad,Instamart,EV Scooter,13,4346.36,7.9,0,Monsoon,Severe Pollution,0.32,0.3,0.62,0.888,27.1,1.735,0,0,0.9246,28.415445,77.305971,0.856,3.1,32.7,492,0,0.094,0.885,1,1,0,0.2708,0.0542,73.26,3,450,3,AUTO_APPROVE,0
C000051,W01691,EVT0059,32,Rohini,Instamart,Bicycle,6,4586.62,9.6,0,Winter,Severe Pollution,0.18,0.05,0.23,0.986,157.0,0.464,0,0,0.8172,28.73668,77.141191,0.945,4.1,30.4,416,0,0.096,0.695,1,1,0,0.125,0.025,59.47,5,750,4,AUTO_APPROVE,0
C000052,W00359,EVT0356,28,West Delhi,Zepto,Bike,29,3487.21,12.9,0,Summer,Severe Pollution,0.25,0.2,0.45,0.799,45.6,1.959,0,0,0.9087,28.66284,77.09697,0.965,5.1,24.8,428,0,0.195,0.993,1,1,0,0.6042,0.1208,64.95,4,600,7,AUTO_APPROVE,0
C000053,W00677,EVT0182,28,Faridabad,BigBasket,Bike,15,2460.83,9.3,0,Post-Monsoon,Social Disruption,0.32,0.1,0.42,0.904,42.1,1.188,0,0,0.8741,28.400229,77.309491,0.749,78.1,43.3,217,0,0.045,0.872,1,1,0,0.3125,0.0625,67.18,6,900,4,AUTO_APPROVE,0
C000054,W01458,EVT0079,22,Dwarka,BigBasket,Bike,10,4881.44,9.4,0,Summer,Extreme Heat,0.22,0.2,0.42,0.796,17.3,1.282,1,0,0.744,28.591007,77.054964,0.827,0.3,58.2,326,0,0.053,0.796,1,1,0,0.2083,0.0417,66.88,5,750,23,AUTO_APPROVE,0
C000055,W01202,EVT0424,40,Faridabad,BigBasket,Bike,13,4933.99,9.9,0,Post-Monsoon,Extreme Heat,0.32,0.1,0.42,0.934,144.3,0.802,0,0,0.8322,28.411226,77.33134,0.928,0.8,49.3,376,0,0.074,0.793,1,1,0,0.2708,0.0542,64.57,2,300,3,AUTO_APPROVE,0
C000056,W00229,EVT0230,31,South Delhi,Zomato,Bike,25,2362.06,8.0,0,Post-Monsoon,Extreme Heat,0.1,0.1,0.2,0.511,537.4,0.013,1,0,0.4251,28.475276,76.878265,0.371,3.2,30.2,137,0,0.566,0.235,0,0,0,0.5208,0.1042,48.61,1,150,48,MANUAL_REVIEW,1
C000057,W00126,EVT0097,28,North Delhi,BigBasket,Bicycle,3,4487.13,7.3,0,Post-Monsoon,Severe Pollution,0.2,0.1,0.3,0.981,121.4,1.056,0,0,0.8798,28.715239,77.216302,0.755,2.8,34.8,432,1,0.217,0.796,1,1,0,0.0625,0.0125,65.07,4,600,15,AUTO_APPROVE,0
C000058,W01446,EVT0386,33,North Delhi,Zomato,Bicycle,30,2814.09,7.0,0,Winter,Severe Pollution,0.2,0.05,0.25,0.788,30.4,1.234,0,0,0.834,28.709814,77.221508,0.846,8.4,21.3,498,0,0.079,0.687,1,1,0,0.625,0.125,54.13,4,600,12,AUTO_APPROVE,0
C000059,W00769,EVT0157,41,Dwarka,Zepto,Bike,5,3855.34,9.4,0,Post-Monsoon,Extreme Heat,0.22,0.1,0.32,0.979,59.8,0.618,0,0,0.8444,28.603196,77.067147,0.89,3.7,50.8,373,0,0.033,0.87,1,1,0,0.1042,0.0208,60.88,6,900,9,AUTO_APPROVE,0
C000060,W00312,EVT0299,37,West Delhi,Swiggy,Bike,45,3994.9,9.6,0,Winter,Severe Pollution,0.25,0.05,0.3,0.783,44.0,1.39,0,0,0.8456,28.651287,77.099081,0.976,6.9,34.2,582,0,0.045,0.933,1,1,0,0.9375,0.1875,52.3,1,150,8,AUTO_APPROVE,0
C000061,W00713,EVT0299,22,West Delhi,BigBasket,Bike,19,4275.65,8.5,1,Summer,Social Disruption,0.25,0.2,0.45,0.974,71.3,1.687,0,0,0.9476,28.644605,77.104667,0.944,20.3,36.1,136,0,0.163,0.906,1,1,0,0.3958,0.0792,66.21,6,900,5,AUTO_APPROVE,0
C000062,W01552,EVT0327,43,Rohini,Swiggy,Bike,9,3658.79,10.8,0,Post-Monsoon,Heavy Rainfall,0.18,0.1,0.28,0.951,211.0,1.223,0,0,0.871,28.731356,77.131587,0.815,75.7,36.0,182,0,0.194,0.581,1,1,0,0.1875,0.0375,61.07,3,450,12,AUTO_APPROVE,0
C000063,W00570,EVT0325,21,North Delhi,Zomato,EV Scooter,18,3961.14,7.0,0,Monsoon,Social Disruption,0.2,0.3,0.5,0.874,124.4,1.063,0,0,0.8372,28.708916,77.22321,0.923,67.5,36.8,170,0,0.053,0.842,1,1,0,0.375,0.075,69.03,4,600,13,AUTO_APPROVE,0
C000064,W01424,EVT0297,26,Saket,BigBasket,Bike,45,3783.12,8.4,0,Summer,Heavy Rainfall,0.14,0.2,0.34,0.841,16.9,1.785,0,0,0.9124,28.52455,77.206046,0.8,53.9,36.3,168,0,0.193,0.896,1,1,0,0.9375,0.1875,53.64,3,450,20,AUTO_APPROVE,0
C000065,W01730,EVT0455,44,North Delhi,Blinkit,Bicycle,35,3616.09,9.0,0,Monsoon,Social Disruption,0.2,0.3,0.5,0.884,75.7,1.148,0,0,0.857,28.709373,77.207388,0.771,63.0,39.6,113,0,0.166,0.818,1,1,0,0.7292,0.1458,62.28,5,750,12,AUTO_APPROVE,0
C000066,W00378,EVT0494,23,Gurgaon,BigBasket,Bike,36,5031.56,6.0,0,Winter,Severe Pollution,0.3,0.05,0.35,0.8,95.8,1.955,0,0,0.9011,28.452021,77.027975,0.894,4.1,20.0,477,0,0.218,0.618,1,1,0,0.75,0.15,56.15,3,450,11,AUTO_APPROVE,0
C000067,W00307,EVT0098,35,Dwarka,Zepto,Bike,27,4410.58,9.6,0,Summer,Flooding,0.22,0.2,0.42,0.932,134.8,1.017,0,0,0.8543,28.604953,77.053878,0.931,76.5,28.3,115,0,0.001,0.899,1,1,0,0.5625,0.1125,58.91,3,450,1,AUTO_APPROVE,0
C000068,W00850,EVT0380,32,North Delhi,Swiggy,Bike,10,2761.33,11.2,0,Post-Monsoon,Extreme Heat,0.2,0.1,0.3,0.686,59.0,0.942,0,0,0.7598,28.717312,77.207406,0.768,0.6,51.7,330,0,0.018,0.6,1,1,0,0.2083,0.0417,58.55,3,450,16,AUTO_APPROVE,0
C000069,W00538,EVT0456,40,South Delhi,Swiggy,Bike,27,4360.14,9.1,0,Winter,Severe Pollution,0.1,0.05,0.15,0.782,26.6,0.608,0,0,0.7696,28.561939,77.258507,0.921,6.4,22.1,536,0,0.074,0.613,1,1,0,0.5625,0.1125,50.01,4,600,12,AUTO_APPROVE,0
C000070,W01826,EVT0308,29,East Delhi,Instamart,Bike,22,3537.69,8.0,0,Winter,Flooding,0.35,0.05,0.4,1.0,199.9,0.63,1,0,0.733,28.663528,77.313967,0.98,65.4,36.4,121,0,0.038,0.566,1,1,0,0.4583,0.0917,64.75,3,450,5,AUTO_APPROVE,0
C000071,W00309,EVT0103,29,Lajpat Nagar,Swiggy,Bike,14,4867.57,8.2,0,Post-Monsoon,Heavy Rainfall,0.12,0.1,0.22,0.881,93.4,0.624,0,0,0.8008,28.558489,77.244201,0.769,103.3,31.5,136,0,0.109,0.907,1,1,0,0.2917,0.0583,54.31,2,300,10,AUTO_APPROVE,0
C000072,W01387,EVT0456,28,Faridabad,Blinkit,Bicycle,32,3479.57,10.5,0,Post-Monsoon,Flooding,0.32,0.1,0.42,0.728,203.6,1.325,0,0,0.7932,28.400966,77.313851,0.972,28.0,35.7,228,0,0.202,0.984,1,1,0,0.6667,0.1333,60.59,5,750,8,AUTO_APPROVE,0
C000073,W00669,EVT0076,38,West Delhi,Instamart,Bike,17,4251.19,10.5,0,Monsoon,Social Disruption,0.25,0.3,0.55,0.848,23.2,1.898,0,0,0.9255,28.662294,77.105016,0.925,46.8,43.7,204,0,0.181,0.645,1,1,0,0.3542,0.0708,68.96,6,900,11,AUTO_APPROVE,0
C000074,W01886,EVT0109,38,Saket,Blinkit,Bike,35,3238.22,6.9,0,Monsoon,Flooding,0.14,0.3,0.44,0.864,130.3,1.195,0,0,0.8456,28.537521,77.205957,0.882,20.9,41.3,121,0,0.179,0.764,1,1,0,0.7292,0.1458,60.01,3,450,11,AUTO_APPROVE,0
C000075,W01465,EVT0322,31,East Delhi,Zomato,Bike,47,3596.86,8.4,0,Summer,Extreme Heat,0.35,0.2,0.55,0.859,57.0,1.402,1,0,0.7752,28.669391,77.306744,0.82,4.6,55.8,379,0,0.083,0.724,1,1,0,0.9792,0.1958,60.06,2,300,15,AUTO_APPROVE,0
C000076,W01369,EVT0442,44,Connaught Place,Instamart,Bicycle,31,3853.75,11.7,0,Winter,Heavy Rainfall,0.15,0.05,0.2,0.494,832.7,0.238,1,0,0.3965,28.516487,77.152447,0.011,31.5,28.2,163,0,0.616,0.224,1,0,0,0.6458,0.1292,50.82,3,450,54,MANUAL_REVIEW,1
C000077,W01493,EVT0461,26,South Delhi,Blinkit,Bicycle,32,4780.38,9.8,0,Winter,Flooding,0.1,0.05,0.15,0.829,155.0,0.45,0,0,0.7533,28.543614,77.253069,0.864,64.2,29.2,112,0,0.203,0.817,1,1,0,0.6667,0.1333,51.57,5,750,11,AUTO_APPROVE,0
C000078,W01854,EVT0320,21,Saket,Zepto,EV Scooter,28,4341.57,10.5,0,Monsoon,Heavy Rainfall,0.14,0.3,0.44,0.887,4.4,1.207,1,0,0.7748,28.521764,77.213199,0.727,115.3,30.8,154,0,0.019,0.82,1,1,0,0.5833,0.1167,58.67,3,450,15,AUTO_APPROVE,0
C000079,W00079,EVT0005,35,Faridabad,Zomato,Bike,36,3557.04,9.1,0,Summer,Flooding,0.32,0.2,0.52,0.79,206.7,0.902,0,1,0.7752,28.409337,77.322142,0.753,67.3,37.1,290,0,0.122,0.762,1,1,0,0.75,0.15,64.82,3,450,14,AUTO_APPROVE,0
C000080,W01577,EVT0300,23,Connaught Place,Zomato,Bike,15,2938.06,7.8,0,Summer,Severe Pollution,0.15,0.2,0.35,0.749,184.0,1.389,0,0,0.8109,28.63456,77.221031,0.924,2.8,21.1,484,0,0.053,0.985,1,1,0,0.3125,0.0625,58.34,5,750,8,AUTO_APPROVE,0
